STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/10,68,49
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/11,73,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/12,79,48
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/13,86,51
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/14,80,64
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/15,69,54
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/16,72,50
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/17,66,55
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/18,80,50
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/19,82,56
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/20,83,58
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/21,88,55
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/22,92,58
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/23,95,60
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/24,86,66
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/5/25,85,63
